Feature	Importance
ctrx_quarter	31869.576841215603
mcuentas_saldo	6169.344901661854
cpayroll_trx	4215.230492237955
mprestamos_personales_ranked	3837.7408227808774
mpayroll_norm_ranked	3545.992000060156
ctarjeta_visa_transacciones	2773.4185462645255
mprestamos_personales	2607.7235148772597
mpasivos_margen_ranked	1507.1090391571634
mpasivos_margen	1349.989617248997
Visa_msaldototal_ranked	1211.1582767367363
mpayroll	1156.9837660137564
cliente_antiguedad	989.3832339448854
cdescubierto_preacordado	973.7721944469959
mcuentas_saldo_ranked	925.6686154543422
cliente_edad	848.7607460008003
numero_de_cliente	734.4865403086878
Visa_status	734.4421480596066
mrentabilidad_annual_ranked	707.489895040635
mrentabilidad_annual	682.2906023822725
Master_Fvencimiento	644.9969013030641
mtarjeta_visa_consumo_ranked	641.1726060882211
mactivos_margen	635.6200285889208
Master_fechaalta	573.0882524834014
mcomisiones_mantenimiento_ranked_delta1	565.9814772489481
Visa_Fvencimiento	544.9931017039344
ccomisiones_mantenimiento_delta1	521.445544719696
mrentabilidad_annual_ranked_delta1	465.4870803207159
ccallcenter_transacciones	457.6020477861166
Visa_fechaalta	453.6452230340801
thomebanking	453.612313548103
Visa_mpagominimo_ranked	445.93521049665287
chomebanking_transacciones	431.21730227582157
ccaja_seguridad	392.1298084780574
ctarjeta_master	388.7949111908674
Visa_msaldopesos	387.3720698468387
mcuenta_corriente	372.7626204304397
internet	365.1349984407425
mcuentas_saldo_ranked_delta1	342.91634966013953
cproductos_delta1	342.62698964960873
mactivos_margen_ranked	327.15154499653727
Master_mfinanciacion_limite	325.60691236983985
mrentabilidad	325.54313200106844
mrentabilidad_ranked	324.3542030598037
chomebanking_transacciones_lag1	322.9883320708759
cproductos	322.8188072126359
mrentabilidad_annual_delta1	311.60962456231937
Master_status	310.291729927063
mcuenta_corriente_ranked	306.17856756132096
ctrx_quarter_delta1	303.25669730082154
mrentabilidad_ranked_delta1	293.6375793889165
mcaja_ahorro_ranked	286.2289944202639
Master_mpagominimo	279.58067265711725
mtarjeta_master_consumo_ranked	275.40158780664206
mcaja_ahorro_dolares_delta1	262.0727954134345
mcaja_ahorro	260.6465810169466
cliente_edad_lag1	256.0897486777976
Master_Fvencimiento_lag1	254.38867656560615
ccuenta_debitos_automaticos	251.98557436466217
ccomisiones_mantenimiento	251.75650927983224
mactivos_margen_delta1	251.68879041774198
mcuenta_debitos_automaticos_ranked	249.8781720935367
mcuenta_corriente_ranked_lag1	244.91171873454005
Visa_Fvencimiento_lag1	242.18618984287605
cprestamos_personales	239.47369885258377
Master_fechaalta_lag1	236.6385292042978
tmobile_app	226.01631801202893
ccomisiones_otras	225.8949871296063
mpasivos_margen_ranked_delta1	223.7926955637522
ccaja_ahorro	223.7812750991434
mcuenta_corriente_delta1	219.04986367980018
mtarjeta_visa_consumo	214.73403495037928
ccajas_transacciones	209.26087768375874
Visa_msaldototal	200.2634035050869
mcomisiones_ranked	200.1831999127753
mrentabilidad_annual_lag1	198.49528425373137
internet_lag1	197.1941632051021
mactivos_margen_ranked_delta1	192.78095945948735
chomebanking_transacciones_delta1	191.0637071179226
mcuentas_saldo_delta1	189.78171453578398
cliente_antiguedad_lag1	187.3610973865725
mcuentas_saldo_lag1	185.0921429693699
mtransferencias_recibidas_ranked	182.33214441128075
mcomisiones_otras_ranked	179.35967385070398
Visa_msaldopesos_ranked	175.83833148237318
mcuenta_corriente_ranked_delta1	175.48184319678694
Visa_mpagominimo	171.81563559360802
Visa_mfinanciacion_limite	170.85712779359892
Master_msaldototal	170.37259856704623
mttarjeta_visa_debitos_automaticos	170.19610255258158
mcomisiones_otras	166.08288019010797
mcaja_ahorro_dolares	160.88756397599354
Visa_fechaalta_lag1	158.6444738167338
mcaja_ahorro_ranked_delta1	157.33004643721506
mactivos_margen_lag1	155.2935862801969
ctarjeta_visa	149.4588543996215
ctrx_quarter_lag1	147.46626845328137
mcuenta_corriente_lag1	147.21607510652393
Master_mfinanciacion_limite_ranked	142.89595441892743
mtransferencias_recibidas	140.6051210667938
mrentabilidad_ranked_lag1	140.5813772897236
mcomisiones_otras_ranked_delta1	137.8905979199335
chomebanking_transacciones_delta2	135.29268831945956
mcomisiones_mantenimiento_ranked	132.85747541859746
mrentabilidad_delta1	131.53414238570258
mrentabilidad_annual_ranked_lag1	131.27374562993646
mpasivos_margen_delta1	129.81639180146158
cmobile_app_trx	129.01403219252825
Master_mlimitecompra_ranked_delta1	127.6522566433996
mcomisiones	124.83142127655447
Master_mfinanciacion_limite_lag1	124.16776416730136
mpagomiscuentas_ranked	122.98212523013353
Visa_cconsumos	117.84417108865455
mttarjeta_visa_debitos_automaticos_ranked	117.48262195754796
mpasivos_margen_ranked_delta2	116.64459290774539
Visa_cconsumos_lag1	115.30784952966496
mpasivos_margen_lag1	114.71155513636768
mcomisiones_mantenimiento	112.63421351462603
Visa_mlimitecompra	112.60708817699924
ctarjeta_visa_debitos_automaticos	108.4200814277865
mcomisiones_mantenimiento_delta2	108.35815815627575
mtransferencias_recibidas_ranked_delta1	107.5141901387833
mactivos_margen_ranked_lag1	107.15709388349205
mtarjeta_visa_consumo_ranked_delta1	107.12858001329005
Visa_mconsumospesos_ranked_delta1	106.15955486521125
Visa_fultimo_cierre	102.8596563404426
mtarjeta_master_consumo	101.51398721709847
mcomisiones_otras_ranked_lag1	101.06405452359468
mcuenta_corriente_delta2	100.28667921060696
ccomisiones_otras_lag1	100.11767364479601
mcaja_ahorro_lag1	98.26748817507178
mcaja_ahorro_dolares_ranked_delta1	97.29737270390615
ctarjeta_debito	96.040022327099
Visa_mfinanciacion_limite_lag1	95.1229404960759
ctransferencias_recibidas	94.64983317628503
ccajas_consultas	93.66164778918028
mtarjeta_visa_consumo_delta1	92.92680916562676
ctarjeta_visa_transacciones_delta1	92.44020323548466
mcuentas_saldo_ranked_delta2	91.78899896284565
mprestamos_personales_ranked_delta1	90.93755783513188
mtransferencias_emitidas	90.60250620823354
ctrx_quarter_delta2	90.0328386509791
mcaja_ahorro_dolares_ranked	89.92486141249537
Visa_mpagominimo_ranked_delta1	89.43980679800734
mcomisiones_otras_lag1	89.32631780207157
active_quarter	89.27307230234146
mpasivos_margen_ranked_lag1	88.30379034020007
Visa_mpagospesos_delta1	87.43416523374617
mactivos_margen_ranked_delta2	87.0290968362242
Master_mfinanciacion_limite_ranked_delta1	86.82914789905772
Master_fultimo_cierre	86.627037929371
Visa_mconsumospesos	85.96960864821449
mcuentas_saldo_ranked_lag1	85.7560303164646
Visa_mfinanciacion_limite_ranked	85.07905277051032
mtransferencias_emitidas_ranked_delta1	82.12238982785493
Master_mpagominimo_ranked	81.7619288098067
mpagomiscuentas	81.20529732853174
mautoservicio_ranked	80.64786832034588
ctarjeta_debito_transacciones_lag1	80.47080614371225
cdescubierto_preacordado_delta1	80.19876320101321
mrentabilidad_lag1	79.32634093891829
mcomisiones_ranked_delta1	79.18943826667964
mrentabilidad_annual_delta2	79.12696690950543
Visa_mlimitecompra_ranked_delta1	78.69288984220475
mautoservicio_ranked_delta1	78.21990423509851
mcaja_ahorro_delta1	77.88584676850587
mrentabilidad_annual_lag2	76.94623016286641
mcaja_ahorro_ranked_lag1	76.7564617623575
mcuenta_corriente_ranked_delta2	75.0803243368864
cproductos_lag1	74.27593975467607
mttarjeta_visa_debitos_automaticos_ranked_delta1	73.03492615744472
Master_mlimitecompra	72.38805356062949
Visa_msaldototal_ranked_delta1	71.5703449784778
ctarjeta_visa_transacciones_lag1	70.75998451933265
mautoservicio	69.97734926827252
ctransferencias_emitidas	69.88834299473092
cproductos_delta2	69.84260286390781
Visa_mfinanciacion_limite_ranked_delta1	69.24188022175804
Master_msaldopesos_ranked	68.6866096034646
mcaja_ahorro_dolares_lag1	68.38119077077135
ccajas_otras	68.10660400986671
mplazo_fijo_dolares_ranked	67.87322319671512
mcaja_ahorro_ranked_delta2	67.70200541848317
ccomisiones_mantenimiento_delta2	67.22164534777403
mcomisiones_lag1	66.91745881084353
mcomisiones_delta1	66.24088879814371
mcomisiones_mantenimiento_delta1	65.75042502954602
Master_msaldototal_ranked	65.51934598945081
mcuenta_debitos_automaticos	65.49777958821505
Visa_mpagado	65.44906312972307
Visa_mfinanciacion_limite_ranked_lag1	65.44489598227665
ctarjeta_debito_lag1	65.03434819728136
mtransferencias_recibidas_lag1	65.00742155779153
Visa_mconsumospesos_ranked	63.36603933107108
Visa_mpagominimo_delta1	62.113943982403725
Visa_mpagospesos_ranked_delta1	62.08830156782642
Visa_mconsumospesos_delta1	61.36169663257897
mcuenta_corriente_lag2	60.5133271208033
mcomisiones_mantenimiento_ranked_delta2	60.427767327055335
mcomisiones_otras_delta1	60.1387670468539
mcomisiones_mantenimiento_lag1	59.69412201549858
cliente_edad_lag2	59.458625581115484
mcuentas_saldo_lag2	59.13380250800401
mcuenta_debitos_automaticos_ranked_delta1	58.85839573852718
mttarjeta_visa_debitos_automaticos_delta1	58.07824378274381
mautoservicio_delta1	57.37092333287001
mprestamos_personales_delta1	57.19506866950542
mrentabilidad_delta2	57.13656666316092
mrentabilidad_ranked_delta2	56.819483678322285
tmobile_app_delta1	54.922202756628394
ccomisiones_mantenimiento_lag1	54.10783623717725
Visa_mlimitecompra_ranked	52.409957881085575
Visa_mpagospesos	51.380995876621455
mcomisiones_otras_ranked_delta2	51.312565078027546
ccallcenter_transacciones_delta1	50.742045633494854
mcomisiones_otras_lag2	49.39643318206072
mtransferencias_emitidas_lag1	48.830439396202564
Visa_mconsumosdolares_lag1	48.03905542939901
Visa_mpagominimo_lag1	47.7043708441779
ccomisiones_otras_delta1	47.43098208587617
mtransferencias_emitidas_ranked	47.414503424894065
mcomisiones_ranked_delta2	47.218270340934396
mactivos_margen_lag2	46.5253121573478
mcomisiones_ranked_lag1	46.146685034036636
mtransferencias_recibidas_ranked_lag1	45.9184526251629
Visa_mpagominimo_ranked_lag1	45.840332770720124
mcaja_ahorro_lag2	45.00165738351643
Visa_msaldopesos_delta1	44.318389095366
Visa_mpagospesos_lag2	44.09358228137717
cpagomiscuentas	43.6485786344856
mextraccion_autoservicio_lag1	42.786524701397866
mactivos_margen_delta2	42.77278762124479
Visa_msaldototal_ranked_lag1	41.643801214173436
ctarjeta_debito_transacciones	41.55137243214995
Visa_msaldopesos_ranked_delta1	41.21019520517439
ctransferencias_recibidas_delta1	41.18318536458537
mrentabilidad_annual_ranked_delta2	40.852854003198445
Master_msaldopesos	40.427350278012455
mtransferencias_recibidas_ranked_delta2	40.27950881514698
ctarjeta_visa_debitos_automaticos_lag1	39.90406387299299
cmobile_app_trx_lag1	39.5429124860093
ctarjeta_debito_transacciones_delta1	39.345434706658125
Visa_cconsumos_delta1	39.14677177928388
catm_trx	39.14574864692986
ccomisiones_otras_lag2	38.66779585927725
mrentabilidad_lag2	38.630382298491895
Master_Fvencimiento_lag2	37.80090187769383
chomebanking_transacciones_lag2	37.473040057811886
cplazo_fijo	37.22823695093393
Visa_mpagospesos_ranked_delta2	36.18782756663859
Visa_mpagominimo_ranked_delta2	35.960874107666314
Visa_mpagospesos_lag1	35.790943880565464
mcaja_ahorro_delta2	35.23464975692332
mpayroll_ranked	35.018754847347736
Visa_Fvencimiento_lag2	34.994757959619164
Visa_msaldopesos_ranked_lag1	34.76448601484299
mcaja_ahorro_dolares_ranked_lag1	34.31534151174128
mtransferencias_emitidas_ranked_lag1	34.21404694765806
