Feature	Importance
ctrx_quarter	554627.8077034593
mpasivos_margen_ranked	89865.01009468436
cpayroll_trx	80250.01316504479
mcuentas_saldo_ranked	79248.88318721057
mcuentas_saldo	73924.0205426693
mprestamos_personales_ranked	72327.53291352987
mprestamos_personales	60094.845720648766
cliente_edad	57205.74362428188
mpasivos_margen	54633.90614296794
numero_de_cliente	47964.97437297106
mtarjeta_visa_consumo	45036.6857180357
mpayroll_norm_ranked	44719.48524349332
mcaja_ahorro_ranked	43661.873460102084
cliente_antiguedad	42034.928924804924
Master_Fvencimiento	36303.32841496468
Master_fechaalta	34095.777298784255
Visa_Fvencimiento	33766.58868101835
mrentabilidad_annual_ranked	33442.09648050666
Visa_fechaalta	33407.23477420211
mrentabilidad_annual	32809.48234199882
mtarjeta_visa_consumo_ranked	32566.765265345573
ctarjeta_visa_transacciones	31355.567096447943
cdescubierto_preacordado	29029.30994621515
mactivos_margen	28983.68655077219
mpayroll	27915.71891720295
chomebanking_transacciones	27175.37339564562
mactivos_margen_ranked	23151.204838377238
mcuenta_corriente	21982.082566219568
mcaja_ahorro	20456.00803639889
cproductos	19549.071657913923
mrentabilidad_ranked	18101.871673339607
mcuenta_corriente_ranked	17762.719027537107
mrentabilidad_annual_ranked_delta1	16872.69088755846
mcomisiones_mantenimiento_ranked_delta1	16752.74785991311
Visa_mpagominimo	16733.63399837613
mrentabilidad	16406.148979860543
Visa_msaldopesos	15995.466666376591
mcuentas_saldo_ranked_delta1	15352.823175591231
Master_mfinanciacion_limite_ranked	15123.23390699029
Master_mfinanciacion_limite	13824.41722367406
cliente_edad_lag1	13619.423400592805
Visa_mfinanciacion_limite_ranked	13547.715455919504
ctrx_quarter_delta1	12890.753906977177
ccomisiones_otras	12823.212147819995
Visa_status	12462.920282804966
ccomisiones_mantenimiento_delta1	12398.301973116399
Visa_msaldototal_ranked	12364.47261235714
mcomisiones_otras_ranked	12263.599243992567
mtransferencias_recibidas	12132.296007549763
mtransferencias_recibidas_ranked	11889.825495684147
Visa_mpagominimo_ranked	11728.430759167672
active_quarter	11497.043111824989
mcaja_ahorro_dolares	11071.028980642557
mcomisiones_otras	10980.378295201062
mrentabilidad_annual_delta1	10890.88443633914
ccomisiones_mantenimiento	10869.134175813198
mcuentas_saldo_delta1	10678.447602182627
Visa_mfinanciacion_limite	10179.543247801066
chomebanking_transacciones_lag1	10111.710971450806
ccallcenter_transacciones	10032.64057343006
mcomisiones	9789.108325386047
mrentabilidad_ranked_delta1	9768.502453291416
mpasivos_margen_ranked_delta1	9635.725568568707
cliente_antiguedad_lag1	9520.410808837414
mttarjeta_visa_debitos_automaticos_ranked	9459.57320059538
Visa_msaldopesos_ranked	9455.655522018671
mcomisiones_ranked	9436.67513101697
mrentabilidad_annual_lag1	9199.185830700397
Visa_msaldototal	9198.877005046606
thomebanking	9069.967587089539
mpayroll_ranked	9041.865078377723
ctrx_quarter_lag1	8926.503090697526
mcuenta_corriente_lag1	8925.447605001926
mactivos_margen_ranked_delta1	8878.351978504657
mttarjeta_visa_debitos_automaticos	8869.140791672467
mcuenta_debitos_automaticos_ranked	8814.036084890366
chomebanking_transacciones_delta1	8749.141584080458
ccaja_ahorro	8683.758484399319
Master_fechaalta_lag1	8539.72039759159
Visa_Fvencimiento_lag1	8531.66226105094
mactivos_margen_delta1	8477.729138606786
ctarjeta_visa	8477.113800132274
cprestamos_personales	7985.91655164361
Visa_mconsumospesos	7876.509020000696
mcuenta_debitos_automaticos	7750.413216340542
Visa_mpagospesos	7681.680094891786
Master_Fvencimiento_lag1	7607.233695280552
mcuenta_corriente_ranked_lag1	7482.070185244083
internet	7379.72751275301
mcomisiones_mantenimiento_ranked	7362.554990786314
ctarjeta_master	7284.796449828148
mcuentas_saldo_lag1	7130.128673690558
mcaja_ahorro_dolares_ranked	7045.960543775558
Visa_fechaalta_lag1	6821.535835814476
Visa_mconsumospesos_ranked	6797.1895449340345
mcuenta_corriente_ranked_delta1	6791.4857591331
Visa_mpagospesos_ranked	6776.364128625393
mtransferencias_emitidas	6768.761727654934
mcaja_ahorro_ranked_delta1	6714.482330161333
Visa_cconsumos	6691.494680482149
mcaja_ahorro_dolares_delta1	6612.644679385424
mactivos_margen_lag1	6196.793924820423
mrentabilidad_annual_ranked_lag1	6180.973338985443
mrentabilidad_delta1	6128.960042321682
mcaja_ahorro_dolares_ranked_delta1	6100.334589648247
mpasivos_margen_delta1	5932.018040579557
mcomisiones_mantenimiento	5906.181644147635
Master_mpagominimo	5885.8587533891205
tmobile_app	5878.59187784791
